"縣市鄉鎮","物資存放點","主/次分類","條碼號","品名","最小單位規格","庫存數量","單位","保存期限"
" 臺北市   南港區 "," 臺北市南港區公所 "," 寢具類 / 寢具類 "," 2021010 --"," 帳篷 "," 1頂／頂 "," 18 "," 頂 ","  "
" 臺北市   萬華區 "," 臺北市雙園國小 "," 寢具類 / 寢具類 "," 2021010 --"," 帳篷 "," 1頂／頂 "," 7 "," 頂 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021010 --"," 帳篷 "," 1頂／頂 "," 20 "," 頂 ","  "
" 臺北市   文山區 "," 臺北市文山區公所 "," 寢具類 / 寢具類 "," 2021010 --"," 帳篷 "," 1頂／頂 "," 42 "," 頂 ","  "
" 臺北市   松山區 "," 臺北市松山區公所 "," 寢具類 / 寢具類 "," 2021010 --"," 帳篷 "," 1頂／頂 "," 15 "," 頂 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 寢具類 / 寢具類 "," 2021010 --"," 帳篷 "," 1頂／頂 "," 19 "," 頂 ","  "
" 臺北市   中正區 "," 臺北市中正區公所 "," 寢具類 / 寢具類 "," 2021010 --"," 帳篷 "," 1頂／頂 "," 20 "," 頂 ","  "
" 臺北市   文山區 "," 臺北市景興國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 50 "," 個 ","  "
" 臺北市   北投區 "," 臺北市北投國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   南港區 "," 台北市舊莊國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   士林區 "," 臺北市格致國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 92 "," 個 ","  "
" 臺北市   士林區 "," 台北市士林國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 118 "," 個 ","  "
" 臺北市   內湖區 "," 台北市碧湖國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 168 "," 個 ","  "
" 臺北市   中山區 "," 臺北市中山區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 90 "," 個 ","  "
" 臺北市   信義區 "," 台北市吳興國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 49 "," 個 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 29 "," 個 ","  "
" 臺北市   大安區 "," 台北市龍門國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義區公所7樓 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 60 "," 個 ","  "
" 臺北市   信義區 "," 台北市博愛國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 50 "," 個 ","  "
" 臺北市   信義區 "," 台北市興雅國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 90 "," 個 ","  "
" 臺北市   南港區 "," 台北市成德國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 50 "," 個 ","  "
" 臺北市   南港區 "," 台北市南港國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 83 "," 個 ","  "
" 臺北市   中正區 "," 臺北市立市大附小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 110 "," 個 ","  "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 66 "," 個 ","  "
" 臺北市   中山區 "," 臺北市新興國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 94 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 70 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 40 "," 個 ","  "
" 臺北市   大同區 "," 台北市建成國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   大安區 "," 台北市幸安國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 29 "," 個 "," 1190131 "
" 臺北市   大同區 "," 台北市忠孝國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 40 "," 個 ","  "
" 臺北市   北投區 "," 臺北市桃源國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   中正區 "," 臺北市立弘道國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   內湖區 "," 台北市麗山國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 178 "," 個 ","  "
" 臺北市   松山區 "," 臺北市松山區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 94 "," 個 ","  "
" 臺北市   北投區 "," 臺北市新民國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   中山區 "," 臺北市五常國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 50 "," 個 ","  "
" 臺北市   松山區 "," 台北市中崙高中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   大安區 "," 台北市大安區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 34 "," 個 "," 1130415 "
" 臺北市   萬華區 "," 臺北市雙園國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 25 "," 個 ","  "
" 臺北市   文山區 "," 臺北市文山區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 80 "," 個 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 92 "," 個 ","  "
" 臺北市   士林區 "," 台北市福林國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   文山區 "," 臺北市景興國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 50 "," 個 ","  "
" 臺北市   萬華區 "," 台北市柳鄉區民活動中心 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 31 "," 個 ","  "
" 臺北市   南港區 "," 臺北市南港區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 82 "," 個 ","  "
" 臺北市   內湖區 "," 台北市東湖國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   大安區 "," 台北市大安國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 59 "," 個 ","  "
" 臺北市   松山區 "," 民生國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   中正區 "," 臺北市中正區公所 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 195 "," 個 ","  "
" 臺北市   大安區 "," 台北市大安國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 1 "," 個 "," 1151001 "
" 臺北市   北投區 "," 臺北市逸仙國小 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   大安區 "," 台北市民族國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 50 "," 個 ","  "
" 臺北市   士林區 "," 台北市至善國中 "," 寢具類 / 寢具類 "," 2021020 --"," 睡袋 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   萬華區 "," 臺北市雙園國小 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 5 "," 床 ","  "
" 臺北市   南港區 "," 台北市成德國中 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 15 "," 床 ","  "
" 臺北市   松山區 "," 臺北市松山區公所 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 15 "," 床 ","  "
" 臺北市   大安區 "," 台北市大安區公所 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 20 "," 床 ","  "
" 臺北市   萬華區 "," 台北市柳鄉區民活動中心 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 4 "," 床 ","  "
" 臺北市   南港區 "," 臺北市南港區公所 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 18 "," 床 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 16 "," 床 ","  "
" 臺北市   大同區 "," 台北市忠孝國中 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 16 "," 床 ","  "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 5 "," 床 ","  "
" 臺北市   南港區 "," 台北市南港國小 "," 寢具類 / 寢具類 "," 2021030 --"," 行軍床 "," 1床／床 "," 15 "," 床 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 10 "," 床 ","  "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 50 "," 床 ","  "
" 臺北市   大安區 "," 台北市大安區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 61 "," 床 ","  "
" 臺北市   中山區 "," 臺北市新興國中 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 90 "," 床 ","  "
" 臺北市   大安區 "," 台北市大安國小 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 60 "," 床 ","  "
" 臺北市   內湖區 "," 台北市碧湖國小 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 20 "," 床 ","  "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 10 "," 床 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 60 "," 床 ","  "
" 臺北市   松山區 "," 臺北市松山區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 10 "," 床 ","  "
" 臺北市   內湖區 "," 台北市麗山國小 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 20 "," 床 ","  "
" 臺北市   文山區 "," 臺北市文山區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 35 "," 床 ","  "
" 臺北市   中山區 "," 臺北市五常國中 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 90 "," 床 ","  "
" 臺北市   中正區 "," 臺北市中正區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 40 "," 床 ","  "
" 臺北市   中山區 "," 臺北市中山區公所 "," 寢具類 / 寢具類 "," 2021040 --"," 睡墊 "," 1床／床 "," 155 "," 床 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021050 --"," 枕頭 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   萬華區 "," 台北市柳鄉區民活動中心 "," 寢具類 / 寢具類 "," 2021050 --"," 枕頭 "," 1個／個 "," 48 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 寢具類 / 寢具類 "," 2021050 --"," 枕頭 "," 1個／個 "," 14 "," 個 ","  "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 寢具類 / 寢具類 "," 2021050 --"," 枕頭 "," 1個／個 "," 24 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 寢具類 / 寢具類 "," 2021060 --"," 草蓆 "," 1床／床 "," 43 "," 床 ","  "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 寢具類 / 寢具類 "," 2021060 --"," 草蓆 "," 1床／床 "," 2 "," 床 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 19 "," 條 ","  "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 50 "," 條 ","  "
" 臺北市   中山區 "," 臺北市中山區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 100 "," 條 ","  "
" 臺北市   松山區 "," 臺北市松山區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 85 "," 條 ","  "
" 臺北市   南港區 "," 台北市南港國小 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 20 "," 條 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 20 "," 條 ","  "
" 臺北市   萬華區 "," 臺北市雙園國小 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 15 "," 條 ","  "
" 臺北市   萬華區 "," 台北市柳鄉區民活動中心 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 92 "," 條 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 30 "," 條 ","  "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 60 "," 條 ","  "
" 臺北市   南港區 "," 臺北市南港區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 73 "," 條 ","  "
" 臺北市   文山區 "," 臺北市文山區公所 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 50 "," 條 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 寢具類 / 寢具類 "," 2021070 --"," 毛毯 "," 1條／條 "," 40 "," 條 ","  "
" 臺北市   北投區 "," 臺北市新民國中 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 50 "," 條 ","  "
" 臺北市   南港區 "," 臺北市南港區公所 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 40 "," 條 ","  "
" 臺北市   松山區 "," 民生國中 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 30 "," 條 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 98 "," 條 ","  "
" 臺北市   松山區 "," 臺北市松山區公所 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 35 "," 條 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 27 "," 條 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 11 "," 條 ","  "
" 臺北市   松山區 "," 台北市中崙高中 "," 寢具類 / 寢具類 "," 2021080 --"," 涼被 "," 1條／條 "," 50 "," 條 ","  "
" 臺北市   大同區 "," 台北市大同區公所 "," 寢具類 / 寢具類 "," 2021090 --"," 棉被 "," 1條／條 "," 9 "," 條 ","  "
" 臺北市   文山區 "," 臺北市文山區公所 "," 寢具類 / 寢具類 "," 2021090 --"," 棉被 "," 1條／條 "," 18 "," 條 ","  "
" 臺北市   松山區 "," 臺北市松山區公所 "," 寢具類 / 寢具類 "," 2021090 --"," 棉被 "," 1條／條 "," 30 "," 條 ","  "
" 臺北市   萬華區 "," 台北市柳鄉區民活動中心 "," 寢具類 / 寢具類 "," 2021090 --"," 棉被 "," 1條／條 "," 49 "," 條 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 寢具類 / 寢具類 "," 2021090 --"," 棉被 "," 1條／條 "," 8 "," 條 ","  "
" 臺北市   大安區 "," 台北市大安區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 18 "," 個 ","  "
" 臺北市   中山區 "," 臺北市中山區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 25 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義區公所7樓 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 29 "," 個 ","  "
" 臺北市   北投區 "," 臺北市桃源國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   中山區 "," 臺北市新興國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 10 "," 個 ","  "
" 臺北市   北投區 "," 臺北市逸仙國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   南港區 "," 臺北市南港區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 18 "," 個 ","  "
" 臺北市   士林區 "," 台北市福林國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 9 "," 個 ","  "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 45 "," 個 ","  "
" 臺北市   北投區 "," 臺北市北投國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   內湖區 "," 台北市碧湖國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 10 "," 個 ","  "
" 臺北市   文山區 "," 臺北市景興國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 15 "," 個 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 108 "," 個 ","  "
" 臺北市   文山區 "," 臺北市文山區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 44 "," 個 ","  "
" 臺北市   信義區 "," 台北市博愛國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 10 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   中山區 "," 臺北市五常國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 10 "," 個 ","  "
" 臺北市   北投區 "," 臺北市新民國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 50 "," 個 ","  "
" 臺北市   士林區 "," 台北市至善國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 14 "," 個 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 2 "," 個 ","  "
" 臺北市   中正區 "," 臺北市中正區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 59 "," 個 ","  "
" 臺北市   文山區 "," 臺北市景興國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   內湖區 "," 台北市麗山國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 10 "," 個 ","  "
" 臺北市   中正區 "," 臺北市立弘道國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 30 "," 個 ","  "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 5 "," 個 ","  "
" 臺北市   南港區 "," 台北市南港國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 6 "," 個 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 36 "," 個 ","  "
" 臺北市   信義區 "," 台北市興雅國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 10 "," 個 ","  "
" 臺北市   中正區 "," 臺北市立市大附小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 20 "," 個 ","  "
" 臺北市   大安區 "," 台北市民族國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 49 "," 個 ","  "
" 臺北市   信義區 "," 台北市吳興國小 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 15 "," 個 ","  "
" 臺北市   大同區 "," 台北市建成國中 "," 寢具類 / 寢具類 "," 2021110 --"," 躺椅 "," 1個／個 "," 8 "," 個 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 寢具類 / 寢具類 "," 2021120 --"," 氣墊床 "," 1箇／箇 "," 80 "," 箇 ","  "
" 臺北市   南港區 "," 臺北市南港區公所 "," 寢具類 / 寢具類 "," 2021120 --"," 氣墊床 "," 1箇／箇 "," 50 "," 箇 ","  "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 寢具類 / 寢具類 "," 2021120 --"," 氣墊床 "," 1箇／箇 "," 19 "," 箇 ","  "
" 臺北市   士林區 "," 台北市士林國小 "," 寢具類 / 寢具類 "," 2021130 --"," 組合墊巧拼 "," 1組／組 "," 104 "," 組 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 寢具類 / 寢具類 "," 2021130 --"," 組合墊巧拼 "," 1組／組 "," 58 "," 組 ","  "
" 臺北市   士林區 "," 臺北市格致國中 "," 寢具類 / 寢具類 "," 2021130 --"," 組合墊巧拼 "," 1組／組 "," 85 "," 組 ","  "
" 臺北市   信義區 "," 台北市博愛國小 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 20 "," 件 ","  "
" 臺北市   信義區 "," 台北市興雅國中 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 10 "," 件 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 118 "," 件 ","  "
" 臺北市   大安區 "," 台北市大安區公所 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 12 "," 件 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 27 "," 件 ","  "
" 臺北市   信義區 "," 台北市吳興國小 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 16 "," 件 ","  "
" 臺北市   萬華區 "," 臺北市雙園國小 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 4 "," 件 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 衣物類 / 成人用衣物 "," 3031010 --"," 長袖上衣 "," 1件／件 "," 3 "," 件 ","  "
" 臺北市   信義區 "," 台北市興雅國中 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 80 "," 件 ","  "
" 臺北市   士林區 "," 臺北市士林區公所 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 59 "," 件 ","  "
" 臺北市   信義區 "," 台北市博愛國小 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 35 "," 件 ","  "
" 臺北市   信義區 "," 台北市吳興國小 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 34 "," 件 ","  "
" 臺北市   南港區 "," 臺北市南港區公所 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 204 "," 件 ","  "
" 臺北市   中山區 "," 臺北市中山區公所 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 9 "," 件 ","  "
" 臺北市   信義區 "," 台北市信義區公所7樓 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 55 "," 件 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 109 "," 件 ","  "
" 臺北市   信義區 "," 台北市信義國中 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 90 "," 件 ","  "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 50 "," 件 ","  "
" 臺北市   文山區 "," 臺北市文山區公所 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 114 "," 件 ","  "
" 臺北市   北投區 "," 台北市北投區公所 "," 衣物類 / 成人用衣物 "," 3031020 --"," 短袖上衣 "," 1件／件 "," 73 "," 件 ","  "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 衣物類 / 成人用衣物 "," 3031030 --"," 外套 "," 1件／件 "," 46 "," 件 ","  "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 衣物類 / 成人用衣物 "," 3031030 --"," 外套 "," 1件／件 "," 10 "," 件 ","  "
" 臺北市   中正區 "," 臺北市中正區公所 "," 衣物類 / 成人用衣物 "," 3031030 --"," 外套 "," 1件／件 "," 36 "," 件 ","  "
" 臺北市   信義區 "," 台北市信義區公所7樓 "," 衣物類 / 成人用衣物 "," 3031030 --"," 外套 "," 1件／件 "," 51 "," 件 ","  "
" 臺北市   信義區 "," 台北市興雅國中 "," 衣物類 / 成人用衣物 "," 3031040 --"," 長褲 "," 1件／件 "," 10 "," 件 ","  "
" 臺北市   信義區 "," 台北市博愛國小 "," 衣物類 / 成人用衣物 "," 3031040 --"," 長褲 "," 1件／件 "," 55 "," 件 ","  "
